number,CRN,Course,Title,Instructor(s),Times,Credits
255,10771,BIOE 500 017,GRADUATE RESEARCH,"Robinson, Jacob T.",  ,1 TO 15
256,10772,BIOE 500 018,GRADUATE RESEARCH,"San, Ka-Yiu",  ,1 TO 15
257,10773,BIOE 500 019,GRADUATE RESEARCH,"Silberg, Joff",  ,1 TO 15
258,10774,BIOE 500 020,GRADUATE RESEARCH,"Suh, Junghae",  ,1 TO 15
259,10775,BIOE 500 021,GRADUATE RESEARCH,"Tabor, Jeffrey", ,1 TO 15
260,10776,BIOE 500 022,GRADUATE RESEARCH,"Tkaczyk, Tomasz",  ,1 TO 15
261,10777,BIOE 500 023,GRADUATE RESEARCH,"Wolynes, Peter",  ,1 TO 15
262,10778,BIOE 500 024,GRADUATE RESEARCH,"Zhang, David Y.",  ,1 TO 15
263,11206,BIOE 500 025,GRADUATE RESEARCH,"Warmflash, Aryeh",  ,1 TO 15
264,11436,BIOE 500 026,GRADUATE RESEARCH,"Pasquali, Matteo",  ,1 TO 15
265,11702,BIOE 500 027,GRADUATE RESEARCH,"Richards-Kortum, Rebecca R.",  ,1 TO 15
266,11720,BIOE 500 028,GRADUATE RESEARCH,"Hartgerink, Jeffrey D.",  ,1 TO 15
267,11840,BIOE 500 029,GRADUATE RESEARCH,"Bashor, Caleb J.",  ,1 TO 15
268,11841,BIOE 500 030,GRADUATE RESEARCH,"Hilton, Isaac B.",  ,1 TO 15
269,12035,BIOE 500 031,GRADUATE RESEARCH,"Gao, Xue",  ,1 TO 15
270,12092,BIOE 500 032,GRADUATE RESEARCH,"Segatori, Laura",  ,1 TO 15
271,12120,BIOE 500 033,GRADUATE RESEARCH,"McHugh, Kevin J.",  ,1 TO 15
272,12577,BIOE 500 034,GRADUATE RESEARCH,"Kalluri, Raghu",  ,1 TO 15
273,12586,BIOE 500 035,GRADUATE RESEARCH,"Harrington, Daniel A.",  ,1 TO 15
274,12602,BIOE 500 036,GRADUATE RESEARCH,"Lu, George", ,1 TO 15
275,12609,BIOE 500 037,GRADUATE RESEARCH,"Szablowski, Jerzy",  ,1 TO 15
276,12637,BIOE 500 038,GRADUATE RESEARCH,"Luan, Lan",  ,1 TO 15
277,12823,BIOE 500 039,GRADUATE RESEARCH,"Gao, Yang",  ,1 TO 15
278,13535,BIOE 500 040,GRADUATE RESEARCH,"Kirienko, Natasha",  ,1 TO 15
279,13572,BIOE 500 041,GRADUATE RESEARCH,"Lillehoj, Peter B.",  ,1 TO 15
280,13581,BIOE 500 042,GRADUATE RESEARCH,"Sirianni, Rachael",  ,1 TO 15
281,14694,BIOE 500 043,GRADUATE RESEARCH,"Thyer, Ross T.",  ,1 TO 15
282,14708,BIOE 500 044,GRADUATE RESEARCH,"Vlassakis, Julea",  ,1 TO 15
283,14715,BIOE 500 045,GRADUATE RESEARCH,"Xie, Chong",  ,1 TO 15
284,15837,BIOE 500 046,GRADUATE RESEARCH,"Tao, Yizhi J.",  ,1 TO 15
285,16020,BIOE 500 047,GRADUATE RESEARCH,"Dai, Mingjie",  ,1 TO 15
286,10431,BIOE 504 001,GRADUATE LAB ROTATION,"Diehl, Michael R.",  ,3
287,12124,BIOE 506 005,GRADUATE INDEPENDENT STUDY,"Tkaczyk, Tomasz",  ,1 TO 6
288,12126,BIOE 506 006,GRADUATE INDEPENDENT STUDY,"Richards-Kortum, Rebecca R.",  ,1 TO 6
289,12154,BIOE 506 007,GRADUATE INDEPENDENT STUDY,"Grande-Allen, K. Jane",  ,1 TO 6
290,13545,BIOE 506 008,GRADUATE INDEPENDENT STUDY,"Lu, George", ,1 TO 6
291,13722,BIOE 506 009,GRADUATE INDEPENDENT STUDY,"Szablowski, Jerzy",  ,1 TO 6
292,13776,BIOE 506 010,GRADUATE INDEPENDENT STUDY,"Wettergreen, Matthew A.",  ,1 TO 6
293,14897,BIOE 506 011,GRADUATE INDEPENDENT STUDY,"Robinson, Jacob T.",  ,1 TO 6
294,12824,BIOE 507 001,GRADUATE RESEARCH COMPONENTS I,"Grande-Allen, K. Jane",  ,2
295,12837,BIOE 507 002,GRADUATE RESEARCH COMPONENTS I,"Segatori, Laura",  ,2
296,13719,BIOE 507 003,GRADUATE RESEARCH COMPONENTS I,"Szablowski, Jerzy",  ,2
297,13763,BIOE 507 004,GRADUATE RESEARCH COMPONENTS I,"Bao, Gang",  ,2
298,13764,BIOE 507 005,GRADUATE RESEARCH COMPONENTS I,"Diehl, Michael R.",  ,2
299,13765,BIOE 507 006,GRADUATE RESEARCH COMPONENTS I,"Bashor, Caleb J.",  ,2
300,13766,BIOE 507 007,GRADUATE RESEARCH COMPONENTS I,"Drezek, Rebekah A.",  ,2
301,13767,BIOE 507 008,GRADUATE RESEARCH COMPONENTS I,"Hilton, Isaac B.",  ,2
302,13768,BIOE 507 009,GRADUATE RESEARCH COMPONENTS I,"McHugh, Kevin J.",  ,2
303,13769,BIOE 507 010,GRADUATE RESEARCH COMPONENTS I,"Mikos, Antonios G.",  ,2
304,13770,BIOE 507 011,GRADUATE RESEARCH COMPONENTS I,"Miller, Jordan S.",  ,2
305,13771,BIOE 507 012,GRADUATE RESEARCH COMPONENTS I,"Raphael, Rob",  ,2
306,13772,BIOE 507 013,GRADUATE RESEARCH COMPONENTS I,"Tabor, Jeffrey",  ,2
307,13773,BIOE 507 014,GRADUATE RESEARCH COMPONENTS I,"Tkaczyk, Tomasz",  ,2
308,13774,BIOE 507 015,GRADUATE RESEARCH COMPONENTS I,"Veiseh, Omid",  ,2
309,13775,BIOE 507 016,GRADUATE RESEARCH COMPONENTS I,"Zhang, David Y.",  ,2
310,13815,BIOE 507 017,GRADUATE RESEARCH COMPONENTS I,"Luan, Lan",  ,2
311,13837,BIOE 507 018,GRADUATE RESEARCH COMPONENTS I,"Richards-Kortum, Rebecca R.",  ,2
312,12582,BIOE 508 001,SYNTHETIC BIOLOGY,"Tabor, Jeffrey",9:25AM - 10:40AM TR ,3
313,11584,BIOE 509 001,POINT-OF-CARE DIAGNOSTICS,"Richards-Kortum, Rebecca R.Schwarz, Richard A.",4:00PM - 5:14PM MW ,3
314,12127,BIOE 517 003,INSTRUMENT/MOLECULAR ANALYSIS,"Diehl, Michael R.",2:00PM - 3:15PM MW  ,3
315,13348,BIOE 518 001,INTRO TO COMPUTATION BIOLOGY,"Igoshin, Oleg",10:50AM - 12:05PM TR  ,3
316,12762,BIOE 522 001,GENE THERAPY,"Szablowski, Jerzy",2:00PM - 3:15PM MW  ,3
317,15010,BIOE 528 002,MED ENGINEERING & DESIGN LAB,"Wettergreen, Matthew A.Howard, Casey",9:00AM - 12:00PM W  ,3
318,15691,BIOE 532 001,"BIOMANUFACTURING, SUS. & ECON","Lu, George",3:30PM - 4:45PM MW  ,3
319,11731,BIOE 535 001,CELL-BASED THERAPEUTICS,"Bashor, Caleb J.",2:30PM - 3:45PM TR  ,3
320,13927,BIOE 536 001,IMMUNOENGINEERING,"Veiseh, Omid",3:30PM - 4:45PM MW  ,3
321,11987,BIOE 537 002,GENETIC AND EPIGENETIC CONTROL,"Hilton, Isaac B.",4:00PM - 5:15PM MW  ,3
322,13700,BIOE 541 001,CELL & MOLECULAR BIOLOGY,"Segatori, Laura",10:50AM - 12:05PM TR  ,3
323,14874,BIOE 552 001,INTRO SYSTEMS BIOLOGY MODELING,"Igoshin, Oleg",10:50AM - 12:05PM TR  ,3
324,11415,BIOE 554 001,COMPUTATIONAL FLUID MECHANICS,"Tezduyar, Tayfun E.",9:25AM - 10:40AM TR ,3
325,15828,BIOE 555 001,PROTOTYPING & FABRICATION,"Wettergreen, Matthew A.",5:30PM - 6:45PM TR  ,3
326,13741,BIOE 558 001,GENOME EDITING AND ENGINEERING,"Gao, Xue",2:00PM - 3:15PM WF  ,3
327,12613,BIOE 586 001,RESPIRATORY SYSTEM MECHANICS,"Boriek, Aladin M.",4:00PM - 5:15PM TR GR ,3
328,12858,BIOE 592 001,SENSORY NEUROENGINEERING,"Raphael, Rob",2:30PM - 3:45PM TR ,3
329,13762,BIOE 607 001,RES CONCENTRATION COMPONENT II,"Szablowski, Jerzy",  ,5
330,14729,BIOE 607 002,RES CONCENTRATION COMPONENT II,"Lu, George",  ,5
331,15577,BIOE 615 001,BIOENGINEERING/CARDIAC SURGERY,"Grande-Allen, K. Jane",3:30PM - 4:45PM MW  ,3
332,15019,BIOE 627 902,MED. INNOVATION INDUSTRY SEM.,"Wettergreen, Matthew A.",5:30PM - 7:00PM W  ,1.5
333,10612,BIOE 690 001,PROF DEVELOPMENT FOR BIOE,"Drezek, Rebekah A.",1:00PM - 3:30PM R  ,3
334,12821,BIOE 698 001,BIOENGINEERING COLLOQUIA,"Lu, George",4:00PM - 4:59PM T ,1
335,13199,BIOS 118 001,FIRST-YEAR SEMINAR (BCBG),"Phillips, Dereth R.",3:00PM - 4:45PM R ,1
336,13200,BIOS 118 002,FIRST-YEAR SEMINAR (BCBG),"Phillips, Dereth R.",3:00PM - 4:45PM R ,1
337,13202,BIOS 119 001,FIRST-YEAR SEMINAR (EEB),"Phillips, Dereth R.",3:00PM - 4:45PM R ,1
338,13697,BIOS 122 002,BIOLOGY FOR VOTERS,"Johnson, Cassidy B.",10:50AM - 12:05PM TR ,3
339,12312,BIOS 128 001,BRAINSTEM,"Flynn, Jonathan R.Lefeldt, Nele",1:00PM - 1:50PM F ,1
340,12316,BIOS 201 S01,INTRODUCTORY BIOLOGY I,"Gustin, Michael",9:00AM - 9:50AM MWF ,3
341,13563,BIOS 202 002,INTRODUCTORY BIOLOGY II,"Siemann, Evan H.",9:00AM - 9:50AM MWF  ,3
342,12317,BIOS 204 001,COMMUNITY GARDEN,"Novak, Joseph R.",4:50PM - 5:55PM R ,1
343,12318,BIOS 211 001,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM M ,2
344,12319,BIOS 211 002,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM T ,2
345,12320,BIOS 211 003,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM W ,2
346,12321,BIOS 211 004,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM R ,2
347,12322,BIOS 211 005,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM F ,2
348,12323,BIOS 211 006,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",10:00AM - 11:50AM MW ,2
349,12324,BIOS 211 007,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM M ,2
350,12325,BIOS 211 008,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM T ,2
351,12326,BIOS 211 009,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM W ,2
352,12327,BIOS 211 010,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM R ,2
353,12328,BIOS 211 011,EXPERIMENTAL CELL & MOL BIOSCI,"Catanese, Jamie",1:00PM - 4:50PM F ,2
354,12330,BIOS 212 002,EXPERIMENTAL NEUROSCIENCE,"Flynn, Jonathan R.Lefeldt, Nele",1:00PM - 4:50PM T ,2
355,12554,BIOS 212 003,EXPERIMENTAL NEUROSCIENCE,"Lefeldt, NeleFlynn, Jonathan R.",1:00PM - 4:50PM W ,2
356,12555,BIOS 212 004,EXPERIMENTAL NEUROSCIENCE,"Flynn, Jonathan R.Lefeldt, Nele",1:00PM - 4:50PM R ,2
357,12331,BIOS 213 001,INTRO LAB ECOL & EVOL,"Solomon, Scott E.Johnson, Cassidy B.",1:00PM - 4:50PM T 3:00PM - 3:50PM M ,2
358,12332,BIOS 215 001,BIOSCIENCES LAB TEACHING,"Beason-Abmayr, Beth", ,1 TO 2
359,12333,BIOS 215 002,BIOSCIENCES LAB TEACHING,"Catanese, Jamie", ,1 TO 2
360,12334,BIOS 215 003,BIOSCIENCES LAB TEACHING,"Flynn, Jonathan R.Lefeldt, Nele", ,1 TO 2
361,12335,BIOS 215 004,BIOSCIENCES LAB TEACHING,"McNeil, Carrie", ,1 TO 2
362,12336,BIOS 215 005,BIOSCIENCES LAB TEACHING,"Solomon, Scott E.", ,1 TO 2
363,12337,BIOS 216 001,DISCUSSION SECTION TEACHING,"Catanese, Jamie", ,1
364,12338,BIOS 216 002,DISCUSSION SECTION TEACHING,"Kirienko, Natasha", ,1
365,12339,BIOS 216 003,DISCUSSION SECTION TEACHING,"Flynn, Jonathan R.Lefeldt, Nele", ,1
366,13929,BIOS 216 004,DISCUSSION SECTION TEACHING,"Chappell, James E.", ,1
367,14921,BIOS 216 005,DISCUSSION SECTION TEACHING,"Ross, Cana", ,1
368,12340,BIOS 216 030,DISCUSSION SECTION TEACHING,"Stewart, Charles R.", ,1
369,13736,BIOS 280 002,SUSTAINABLE DEVELOPMENT,"Abraham, David B.",6:00PM - 8:50PM M ,3
370,12341,BIOS 299 001,EXPERIENTIAL EDUC IN BIOS,"Phillips, Dereth R.", ,1
371,12546,BIOS 300 001,PARADIGMS IN BIOCHM & CELL BIO,,9:25AM - 10:40AM TR ,3
372,12342,BIOS 301 S01,BIOCHEMISTRY I,"Kirienko, NatashaChappell, James E.",11:00AM - 11:50AM MWF ,3
373,12343,BIOS 310 001,IND RES FOR BIOS UNDERGRADS,"Phillips, Dereth R.", ,1 TO 5
374,12344,BIOS 310 002,IND RES FOR BIOS UNDERGRADS,"Warmflash, Aryeh", ,1 TO 5
375,12345,BIOS 310 003,IND RES FOR BIOS UNDERGRADS,"Bartel, Bonnie", ,1 TO 5
376,12346,BIOS 310 004,IND RES FOR BIOS UNDERGRADS,"Beckingham, Kathleen M.", ,1 TO 5
377,12347,BIOS 310 006,IND RES FOR BIOS UNDERGRADS,"Bennett, Matthew", ,1 TO 5
378,12348,BIOS 310 007,IND RES FOR BIOS UNDERGRADS,"Braam, Janet", ,1 TO 5
379,12349,BIOS 310 008,IND RES FOR BIOS UNDERGRADS,"Carson, Daniel D.", ,1 TO 5
380,15260,BIOS 310 009,IND RES FOR BIOS UNDERGRADS,"Loveless, Theresa", ,1 TO 5
381,12350,BIOS 310 010,IND RES FOR BIOS UNDERGRADS,"Ajo-Franklin, Caroline M.", ,1 TO 5
382,12351,BIOS 310 012,IND RES FOR BIOS UNDERGRADS,"Gustin, Michael", ,1 TO 5
383,12352,BIOS 310 014,IND RES FOR BIOS UNDERGRADS,"Chappell, James E.", ,1 TO 5
384,12353,BIOS 310 015,IND RES FOR BIOS UNDERGRADS,"de Moraes, Marcos", ,1 TO 5
385,12354,BIOS 310 016,IND RES FOR BIOS UNDERGRADS,"Lwigale, Peter Y.", ,1 TO 5
386,12355,BIOS 310 017,IND RES FOR BIOS UNDERGRADS,"Matsuda, Seiichi P.", ,1 TO 5
387,13930,BIOS 310 018,IND RES FOR BIOS UNDERGRADS,"Lavery, Laura", ,1 TO 5
388,12356,BIOS 310 019,IND RES FOR BIOS UNDERGRADS,"McNew, James A.", ,1 TO 5
389,12357,BIOS 310 020,IND RES FOR BIOS UNDERGRADS,"Nakhleh, Luay", ,1 TO 5
390,12358,BIOS 310 021,IND RES FOR BIOS UNDERGRADS,"Nikonowicz, Edward P.", ,1 TO 5
391,12359,BIOS 310 022,IND RES FOR BIOS UNDERGRADS,"Gao, Yang", ,1 TO 5
392,12360,BIOS 310 023,IND RES FOR BIOS UNDERGRADS,"Onuchic, Jose", ,1 TO 5
393,12361,BIOS 310 025,IND RES FOR BIOS UNDERGRADS,"Phillips, George N.", ,1 TO 5
394,12362,BIOS 310 026,IND RES FOR BIOS UNDERGRADS,"Segatori, Laura", ,1 TO 5
395,12363,BIOS 310 027,IND RES FOR BIOS UNDERGRADS,"Shamoo, Yousif", ,1 TO 5
396,12364,BIOS 310 028,IND RES FOR BIOS UNDERGRADS,"Silberg, Joff", ,1 TO 5
397,12365,BIOS 310 029,IND RES FOR BIOS UNDERGRADS,"Stern, Michael", ,1 TO 5
398,12366,BIOS 310 030,IND RES FOR BIOS UNDERGRADS,"Stewart, Charles R.", ,1 TO 5
399,12367,BIOS 310 031,IND RES FOR BIOS UNDERGRADS,"Tao, Yizhi J.", ,1 TO 5
400,12368,BIOS 310 032,IND RES FOR BIOS UNDERGRADS,"Wagner, Daniel S.", ,1 TO 5
401,12369,BIOS 310 033,IND RES FOR BIOS UNDERGRADS,"Uribe, Rosa A.", ,1 TO 5
402,12370,BIOS 310 034,IND RES FOR BIOS UNDERGRADS,"Wolynes, Peter", ,1 TO 5
403,12372,BIOS 310 036,IND RES FOR BIOS UNDERGRADS,"de Paiva, Cintia", ,1 TO 5
404,12373,BIOS 310 037,IND RES FOR BIOS UNDERGRADS,"Xiao, Han", ,1 TO 5
405,12374,BIOS 310 039,IND RES FOR BIOS UNDERGRADS,"Tabor, Jeffrey", ,1 TO 5
406,12375,BIOS 310 042,IND RES FOR BIOS UNDERGRADS,"Kirienko, Natasha", ,1 TO 5
407,12376,BIOS 310 043,IND RES FOR BIOS UNDERGRADS,"Beason-Abmayr, Beth", ,1 TO 5
408,12578,BIOS 310 053,IND RES FOR BIOS UNDERGRADS,"Bashor, Caleb J.", ,1 TO 5
409,12377,BIOS 310 054,IND RES FOR BIOS UNDERGRADS,"Hilton, Isaac B.", ,1 TO 5
410,12378,BIOS 310 055,IND RES FOR BIOS UNDERGRADS,"Dunham, Amy E.", ,1 TO 5
411,12379,BIOS 310 056,IND RES FOR BIOS UNDERGRADS,"Egan, Scott P.", ,1 TO 5
412,14913,BIOS 310 057,IND RES FOR BIOS UNDERGRADS,"Sobral Marcondes, Rafael", ,1 TO 5
413,12381,BIOS 310 058,IND RES FOR BIOS UNDERGRADS,"Miller, Thomas E.", ,1 TO 5
414,12382,BIOS 310 059,IND RES FOR BIOS UNDERGRADS,"Rudolf, Volker", ,1 TO 5
415,14245,BIOS 310 060,IND RES FOR BIOS UNDERGRADS,"Saltz, Julia B.", ,1 TO 5
416,12383,BIOS 310 061,IND RES FOR BIOS UNDERGRADS,"Beaudrot, Lydia", ,1 TO 5
417,12384,BIOS 310 062,IND RES FOR BIOS UNDERGRADS,"Siemann, Evan H.", ,1 TO 5
418,12385,BIOS 310 063,IND RES FOR BIOS UNDERGRADS,"Simoes Correa, Adrienne M.", ,1 TO 5
419,12386,BIOS 310 064,IND RES FOR BIOS UNDERGRADS,"Solomon, Scott E.", ,1 TO 5
420,13801,BIOS 310 065,IND RES FOR BIOS UNDERGRADS,"McCary, Matt", ,1 TO 5
421,14914,BIOS 310 066,IND RES FOR BIOS UNDERGRADS,"Holt, Jocelyn", ,1 TO 5
422,12649,BIOS 310 067,IND RES FOR BIOS UNDERGRADS,"Evans, Kory M.", ,1 TO 5
423,12757,BIOS 310 068,IND RES FOR BIOS UNDERGRADS,"Masiello, Carrie", ,1 TO 5
424,14931,BIOS 310 099,IND RES FOR BIOS UNDERGRADS,"Flynn, Jonathan R.", ,1 TO 5
425,12387,BIOS 311 001,EXPERIMENTAL BIOCHEMISTRY,"Beason-Abmayr, Beth",1:00PM - 5:00PM W ,2
426,12388,BIOS 311 002,EXPERIMENTAL BIOCHEMISTRY,"Beason-Abmayr, Beth",1:00PM - 5:00PM M ,2
427,13347,BIOS 311 003,EXPERIMENTAL BIOCHEMISTRY,"Beason-Abmayr, Beth",1:00PM - 5:00PM M ,2
428,12389,BIOS 312 001,ADV COMMUNICATION IN BIOL SCI,"Purugganan, Mary",11:00AM - 11:50AM W ,2
429,12763,BIOS 312 002,ADV COMMUNICATION IN BIOL SCI,"Purugganan, Mary",3:00PM - 3:50PM M ,2
430,15812,BIOS 314 001,ADV EXP MOLECULAR BIOLOGY,"Beason-Abmayr, BethKirienko, Natasha",1:00PM - 3:00PM TR ,2
431,15655,BIOS 315 001,EXPERIMENTAL PHYSIOLOGY,"Lefeldt, Nele",9:00AM - 12:00PM W ,1
432,12391,BIOS 318 001,MICROBIOLOGY LABORATORY,"Ross, Cana",1:00PM - 3:50PM MW ,2
433,12392,BIOS 318 002,MICROBIOLOGY LABORATORY,"Ross, Cana",1:00PM - 3:50PM TR ,2
434,12393,BIOS 327 001,BIOLOGICAL DIVERSITY,"Solomon, Scott E.",1:00PM - 4:50PM W ,1
435,13510,BIOS 329 001,ANIMAL DIVERSITY,"Evans, Kory M.",10:00AM - 10:50AM MWF ,3
436,15261,BIOS 330 001,INSECT BIOLOGY LAB,"Sobral Marcondes, Rafael",1:00PM - 3:50PM R ,1
437,12749,BIOS 332 001,ECOLOGY,"Miller, Thomas E.",10:50AM - 12:05PM TR ,3
438,12395,BIOS 341 S01,CELL BIOLOGY,"Braam, Janet",9:25AM - 10:40AM TR ,3
439,14264,BIOS 344 S01,MOLECULAR BIOLOGY & GENETICS,"Stewart, Charles R.",10:50AM - 12:05PM TR ,3
440,12397,BIOS 352 001,PHYS CHEM FOR BIOSCIENCES,"Silberg, JoffAjo-Franklin, Caroline M.",9:00AM - 9:50AM MWF ,3
441,15656,BIOS 353 001,MOL BASIS: INFECTIOUS DISEASE,"Shamoo, Yousif",9:25AM - 10:40AM TR ,3
442,12549,BIOS 372 001,IMMUNOLOGY,"Johnson, Cassidy B.",10:00AM - 10:50AM MWF ,3
443,13496,BIOS 385 002,CELL & MOL MECH OF THE NEURON,"Ross, Cana",9:25AM - 10:40AM TR ,3
444,12398,BIOS 401 001,UNDERGRADUATE HONORS RESEARCH,"Beckingham, Kathleen M.", ,5
445,12399,BIOS 401 002,UNDERGRADUATE HONORS RESEARCH,"Warmflash, Aryeh", ,5
446,12400,BIOS 401 003,UNDERGRADUATE HONORS RESEARCH,"Bartel, Bonnie", ,5
447,12401,BIOS 401 004,UNDERGRADUATE HONORS RESEARCH,"Beckingham, Kathleen M.", ,5
448,12402,BIOS 401 006,UNDERGRADUATE HONORS RESEARCH,"Bennett, Matthew", ,5
449,12403,BIOS 401 007,UNDERGRADUATE HONORS RESEARCH,"Braam, Janet", ,5
450,12404,BIOS 401 008,UNDERGRADUATE HONORS RESEARCH,"Carson, Daniel D.", ,5
451,15262,BIOS 401 009,UNDERGRADUATE HONORS RESEARCH,"Loveless, Theresa", ,5
452,12405,BIOS 401 010,UNDERGRADUATE HONORS RESEARCH,"Ajo-Franklin, Caroline M.", ,5
453,12406,BIOS 401 012,UNDERGRADUATE HONORS RESEARCH,"Gustin, Michael", ,5
454,12407,BIOS 401 014,UNDERGRADUATE HONORS RESEARCH,"Chappell, James E.", ,5
455,12408,BIOS 401 015,UNDERGRADUATE HONORS RESEARCH,"de Moraes, Marcos", ,5
456,12409,BIOS 401 016,UNDERGRADUATE HONORS RESEARCH,"Lwigale, Peter Y.", ,5
457,12410,BIOS 401 017,UNDERGRADUATE HONORS RESEARCH,"Matsuda, Seiichi P.", ,5
458,13931,BIOS 401 018,UNDERGRADUATE HONORS RESEARCH,"Lavery, Laura", ,5
459,12411,BIOS 401 019,UNDERGRADUATE HONORS RESEARCH,"McNew, James A.", ,5
460,12412,BIOS 401 020,UNDERGRADUATE HONORS RESEARCH,"Nakhleh, Luay", ,5
461,12413,BIOS 401 021,UNDERGRADUATE HONORS RESEARCH,"Nikonowicz, Edward P.", ,5
462,12414,BIOS 401 022,UNDERGRADUATE HONORS RESEARCH,"Gao, Yang", ,5
463,12415,BIOS 401 023,UNDERGRADUATE HONORS RESEARCH,"Onuchic, Jose", ,5
464,12416,BIOS 401 025,UNDERGRADUATE HONORS RESEARCH,"Phillips, George N.", ,5
465,12417,BIOS 401 026,UNDERGRADUATE HONORS RESEARCH,"Segatori, Laura", ,5
466,12418,BIOS 401 027,UNDERGRADUATE HONORS RESEARCH,"Shamoo, Yousif", ,5
467,12419,BIOS 401 028,UNDERGRADUATE HONORS RESEARCH,"Silberg, Joff", ,5
468,12420,BIOS 401 029,UNDERGRADUATE HONORS RESEARCH,"Stern, Michael", ,5
469,12421,BIOS 401 030,UNDERGRADUATE HONORS RESEARCH,"Stewart, Charles R.", ,5
470,12422,BIOS 401 031,UNDERGRADUATE HONORS RESEARCH,"Tao, Yizhi J.", ,5
471,12423,BIOS 401 032,UNDERGRADUATE HONORS RESEARCH,"Wagner, Daniel S.", ,5
472,12424,BIOS 401 033,UNDERGRADUATE HONORS RESEARCH,"Uribe, Rosa A.", ,5
473,12425,BIOS 401 034,UNDERGRADUATE HONORS RESEARCH,"Wolynes, Peter", ,5
474,12427,BIOS 401 036,UNDERGRADUATE HONORS RESEARCH,"de Paiva, Cintia", ,5
475,12428,BIOS 401 037,UNDERGRADUATE HONORS RESEARCH,"Xiao, Han", ,5
476,12429,BIOS 401 039,UNDERGRADUATE HONORS RESEARCH,"Tabor, Jeffrey", ,5
477,12430,BIOS 401 042,UNDERGRADUATE HONORS RESEARCH,"Kirienko, Natasha", ,5
478,12431,BIOS 401 043,UNDERGRADUATE HONORS RESEARCH,"Beason-Abmayr, Beth", ,5
479,12432,BIOS 401 055,UNDERGRADUATE HONORS RESEARCH,"Dunham, Amy E.", ,5
480,12433,BIOS 401 056,UNDERGRADUATE HONORS RESEARCH,"Egan, Scott P.", ,5
481,12435,BIOS 401 058,UNDERGRADUATE HONORS RESEARCH,"Miller, Thomas E.", ,5
482,12436,BIOS 401 059,UNDERGRADUATE HONORS RESEARCH,"Rudolf, Volker", ,5
483,14246,BIOS 401 060,UNDERGRADUATE HONORS RESEARCH,"Saltz, Julia B.", ,5
484,12437,BIOS 401 061,UNDERGRADUATE HONORS RESEARCH,"Beaudrot, Lydia", ,5
485,12438,BIOS 401 062,UNDERGRADUATE HONORS RESEARCH,"Siemann, Evan H.", ,5
486,12439,BIOS 401 063,UNDERGRADUATE HONORS RESEARCH,"Simoes Correa, Adrienne M.", ,5
487,12440,BIOS 401 064,UNDERGRADUATE HONORS RESEARCH,"Solomon, Scott E.", ,5
488,14638,BIOS 401 065,UNDERGRADUATE HONORS RESEARCH,"McCary, Matt", ,5
489,15091,BIOS 401 066,UNDERGRADUATE HONORS RESEARCH,"Holt, Jocelyn", ,5
490,12650,BIOS 401 067,UNDERGRADUATE HONORS RESEARCH,"Evans, Kory M.", ,5
491,15707,BIOS 411 001,UNDERGRADUATE RESEARCH SEMINAR,"Beckingham, Kathleen M.",4:00PM - 6:00PM T ,0
492,12589,BIOS 417 002,ADV EXPERIMENTAL NEUROSCIENCE,"Flynn, Jonathan R.Lefeldt, Nele",9:00AM - 12:00PM TR ,1
493,12444,BIOS 423 001,CONSERVATION BIOLOGY,"Dunham, Amy E.",1:00PM - 2:15PM TR ,3
494,13203,BIOS 425 001,PLANT MOLECULAR GENETICS,"Bartel, Bonnie",1:00PM - 2:15PM TR ,3
495,12446,BIOS 431 001,BIOLOGY OF INFECTIOUS DISEASES,"Rudolf, Volker",11:00AM - 11:50AM MWF ,3
496,15657,BIOS 441 001,MOLECULAR MEMBRANE BIOLOGY,"McNew, James A.",1:00PM - 2:15PM TR ,3
497,12447,BIOS 449 001,ADV CELL AND MOLECULAR NEURO,"Lefeldt, Nele",9:25AM - 10:40AM TR ,3
498,15263,BIOS 470 001,COMPUTATION WITH BIOL DATA,"Warmflash, Aryeh",2:30PM - 3:45PM TR ,3
499,15264,BIOS 481 001,MOLECULAR CELLULAR BIOPHYSICS,"Lavery, Laura",9:00AM - 9:50AM MWF ,3
500,12445,BIOS 523 001,CONSERVATION BIOLOGY,"Dunham, Amy E.",1:00PM - 2:15PM TR ,3
501,13204,BIOS 525 001,PLANT MOLECULAR GENETICS,"Bartel, Bonnie",1:00PM - 2:15PM TR ,3
502,12313,BIOS 528 001,BRAINSTEM,"Flynn, Jonathan R.Lefeldt, Nele",1:00PM - 1:50PM F ,1
